"","Rank","Title","Runtime","Genre","Rating","Metascore","Votes","Director","Actor","Gross"
"585",35,"The Accused","111 min","Crime, Drama",7.2,65,33527,"Jonathan Kaplan","Kelly McGillis","$32.07M"
"586",36,"The Bear","96 min","Adventure, Drama, Family",7.7,60,17294,"Jean-Jacques Annaud","Tchéky Karyo","$31.75M"
"587",37,"Shoot to Kill","110 min","Action, Adventure, Crime",6.8,56,12414,"Roger Spottiswoode","Sidney Poitier","$29.30M"
"588",38,"Ernest Saves Christmas","95 min","Comedy, Family, Fantasy",5.7,44,10481,"John R. Cherry III","Jim Varney","$28.20M"
"589",39,"Betrayed","127 min","Crime, Drama, Thriller",6.3,NA,6045,"Costa-Gavras","Debra Winger","$25.82M"
"590",40,"Funny Farm","101 min","Comedy",6.2,50,22020,"George Roy Hill","Chevy Chase","$25.54M"
"591",41,"Alien Nation","91 min","Action, Sci-Fi",6.3,45,14943,"Graham Baker","James Caan","$25.22M"
"592",42,"Gorillas in the Mist","129 min","Biography, Drama",7,NA,25023,"Michael Apted","Sigourney Weaver","$24.72M"
"593",43,"License to Drive","88 min","Comedy",6.3,36,19532,"Greg Beeman","Corey Haim","$22.43M"
"594",44,"Short Circuit 2","110 min","Comedy, Drama, Family",5.7,NA,24720,"Kenneth Johnson","Fisher Stevens","$21.63M"
"595",45,"Married to the Mob","104 min","Comedy, Crime, Romance",6.2,71,16895,"Jonathan Demme","Michelle Pfeiffer","$21.49M"
"596",46,"Punchline","128 min","Comedy, Drama, Romance",5.9,52,8389,"David Seltzer","Sally Field","$21.03M"
"597",47,"Action Jackson","96 min","Action, Comedy, Crime",5.5,36,10771,"Craig R. Baxley","Carl Weathers","$20.26M"
"598",48,"The Presidio","97 min","Action, Crime, Mystery",6,31,17599,"Peter Hyams","Sean Connery","$20.04M"
"599",49,"Tucker: The Man and His Dream","110 min","Biography, Comedy, Drama",6.9,74,18931,"Francis Ford Coppola","Jeff Bridges","$19.65M"
"600",50,"The Serpent and the Rainbow","98 min","Fantasy, Horror",6.5,64,24237,"Wes Craven","Bill Pullman","$19.60M"
"601",1,"Batman","126 min","Action, Adventure",7.5,69,351300,"Tim Burton","Michael Keaton","$251.19M"
"602",2,"Indiana Jones and the Last Crusade","127 min","Action, Adventure",8.2,65,716334,"Steven Spielberg","Harrison Ford","$197.17M"
"603",3,"Lethal Weapon 2","114 min","Action, Crime, Thriller",7.2,70,167803,"Richard Donner","Mel Gibson","$147.25M"
"604",4,"Look Who's Talking","93 min","Comedy",5.9,51,80421,"Amy Heckerling","John Travolta","$140.09M"
"605",5,"Honey, I Shrunk the Kids","93 min","Adventure, Comedy, Family",6.4,63,148129,"Joe Johnston","Rick Moranis","$130.72M"
"606",6,"Back to the Future Part II","108 min","Adventure, Comedy, Sci-Fi",7.8,57,500773,"Robert Zemeckis","Michael J. Fox","$118.50M"
"607",7,"Ghostbusters II","108 min","Action, Comedy, Fantasy",6.6,56,189862,"Ivan Reitman","Bill Murray","$112.49M"
"608",8,"The Little Mermaid","83 min","Animation, Family, Fantasy",7.6,88,246712,"Ron Clements","Jodi Benson","$111.54M"
"609",9,"Driving Miss Daisy","99 min","Drama",7.4,81,104980,"Bruce Beresford","Morgan Freeman","$106.59M"
"610",10,"Parenthood","124 min","Comedy, Drama",7,82,47268,"Ron Howard","Steve Martin","$100.05M"
"611",11,"Dead Poets Society","128 min","Comedy, Drama",8.1,79,448125,"Peter Weir","Robin Williams","$95.86M"
"612",12,"When Harry Met Sally...","95 min","Comedy, Drama, Romance",7.6,76,205253,"Rob Reiner","Billy Crystal","$92.82M"
"613",13,"The War of the Roses","116 min","Comedy, Romance",6.8,79,50580,"Danny DeVito","Michael Douglas","$86.89M"
"614",14,"Steel Magnolias","117 min","Comedy, Drama, Romance",7.3,56,50965,"Herbert Ross","Shirley MacLaine","$83.76M"
"615",15,"Christmas Vacation","97 min","Comedy",7.6,49,165641,"Jeremiah S. Chechik","Chevy Chase","$71.32M"
"616",16,"Turner & Hooch","97 min","Comedy, Crime, Drama",6.2,36,67903,"Roger Spottiswoode","Tom Hanks","$71.08M"
"617",17,"Born on the Fourth of July","145 min","Biography, Drama, War",7.2,75,101935,"Oliver Stone","Tom Cruise","$70.00M"
"618",18,"Uncle Buck","100 min","Comedy",7,51,89556,"John Hughes","John Candy","$66.76M"
"619",19,"Field of Dreams","107 min","Drama, Family, Fantasy",7.5,57,114197,"Phil Alden Robinson","Kevin Costner","$64.43M"
"620",20,"Tango & Cash","104 min","Action, Comedy, Crime",6.4,41,100919,"Andrey Konchalovskiy","Sylvester Stallone","$63.41M"
"621",21,"Harlem Nights","116 min","Comedy, Crime, Drama",6.1,16,21656,"Eddie Murphy","Eddie Murphy","$60.86M"
"622",22,"Sea of Love","113 min","Crime, Drama, Mystery",6.8,66,39492,"Harold Becker","Al Pacino","$58.57M"
"623",23,"Pet Sematary","103 min","Fantasy, Horror, Thriller",6.6,38,98159,"Mary Lambert","Dale Midkiff","$57.47M"
"624",24,"The Abyss","140 min","Adventure, Drama, Mystery",7.5,62,170025,"James Cameron","Ed Harris","$54.46M"
"625",25,"Star Trek V: The Final Frontier","107 min","Action, Adventure, Fantasy",5.5,43,57916,"William Shatner","William Shatner","$52.21M"
"626",26,"Major League","107 min","Comedy, Sport",7.2,62,65214,"David S. Ward","Tom Berenger","$49.80M"
"627",27,"See No Evil, Hear No Evil","103 min","Comedy, Crime",6.9,44,52267,"Arthur Hiller","Richard Pryor","$46.91M"
"628",28,"Black Rain","125 min","Action, Crime, Thriller",6.6,56,51865,"Ridley Scott","Michael Douglas","$46.21M"
"629",29,"Always","122 min","Drama, Fantasy, Romance",6.4,50,29013,"Steven Spielberg","Richard Dreyfuss","$43.86M"
"630",30,"K-9","101 min","Action, Comedy, Crime",6,44,32794,"Rod Daniel","Jim Belushi","$43.25M"
"631",31,"Three Fugitives","96 min","Action, Comedy",6.2,40,11343,"Francis Veber","Nick Nolte","$40.59M"
"632",32,"Bill & Ted's Excellent Adventure","90 min","Adventure, Comedy, Music",7,50,124524,"Stephen Herek","Keanu Reeves","$40.49M"
"633",33,"The Karate Kid Part III","112 min","Action, Drama, Family",5.3,36,57216,"John G. Avildsen","Ralph Macchio","$38.96M"
"634",34,"The 'Burbs","102 min","Comedy, Mystery, Thriller",6.9,45,71699,"Joe Dante","Tom Hanks","$36.60M"
"635",35,"Fletch Lives","95 min","Comedy, Crime, Mystery",6.1,40,20654,"Michael Ritchie","Chevy Chase","$35.15M"
"636",36,"License to Kill","133 min","Action, Adventure, Thriller",6.6,58,98517,"John Glen","Timothy Dalton","$34.67M"
"637",37,"Lean on Me","108 min","Drama",7.4,58,19164,"John G. Avildsen","Morgan Freeman","$31.91M"
"638",38,"Weekend at Bernie's","97 min","Adventure, Comedy, Crime",6.4,32,52291,"Ted Kotcheff","Andrew McCarthy","$30.22M"
"639",39,"Road House","114 min","Action, Thriller",6.6,36,67131,"Rowdy Herrington","Patrick Swayze","$30.05M"
"640",40,"The Dream Team","113 min","Comedy, Crime, Thriller",6.5,54,14712,"Howard Zieff","Michael Keaton","$28.89M"
"641",41,"Do the Right Thing","120 min","Comedy, Drama",8,93,95862,"Spike Lee","Danny Aiello","$27.55M"
"642",42,"All Dogs Go to Heaven","84 min","Animation, Comedy, Drama",6.8,50,39471,"Don Bluth","Dom DeLuise","$27.10M"
"643",43,"Glory","122 min","Biography, Drama, History",7.8,78,129593,"Edward Zwick","Matthew Broderick","$26.83M"
"644",44,"Sex, Lies, and Videotape","100 min","Drama",7.2,86,52688,"Steven Soderbergh","James Spader","$24.74M"
"645",45,"A Nightmare on Elm Street 5: The Dream Child","89 min","Fantasy, Horror",5.1,54,42903,"Stephen Hopkins","Robert Englund","$22.17M"
"646",46,"Lock Up","109 min","Action, Crime, Drama",6.4,52,41314,"John Flynn","Sylvester Stallone","$22.10M"
"647",47,"Cousins","113 min","Comedy, Romance",6.3,NA,4484,"Joel Schumacher","Ted Danson","$22.03M"
"648",48,"Say Anything","100 min","Comedy, Drama, Romance",7.3,85,85882,"Cameron Crowe","John Cusack","$20.78M"
"649",49,"An Innocent Man","113 min","Action, Crime, Drama",6.5,39,6567,"Peter Yates","Tom Selleck","$20.05M"
"650",50,"The Fly II","105 min","Drama, Horror, Sci-Fi",5.1,36,22077,"Chris Walas","Eric Stoltz","$20.02M"
"651",1,"Home Alone","103 min","Comedy, Family",7.6,63,506990,"Chris Columbus","Macaulay Culkin","$285.76M"
"652",2,"Ghost","127 min","Drama, Fantasy, Romance",7.1,52,205176,"Jerry Zucker","Patrick Swayze","$217.63M"
"653",3,"Dances with Wolves","181 min","Adventure, Drama, Western",8,72,250010,"Kevin Costner","Kevin Costner","$184.21M"
"654",4,"Pretty Woman","119 min","Comedy, Romance",7,51,303434,"Garry Marshall","Richard Gere","$178.41M"
"655",5,"Teenage Mutant Ninja Turtles","93 min","Action, Adventure, Comedy",6.8,51,88973,"Steve Barron","Judith Hoag","$135.27M"
"656",6,"The Hunt for Red October","135 min","Action, Adventure, Thriller",7.6,58,187796,"John McTiernan","Sean Connery","$122.01M"
"657",7,"Total Recall","113 min","Action, Sci-Fi, Thriller",7.5,57,314032,"Paul Verhoeven","Arnold Schwarzenegger","$119.39M"
"658",8,"Die Hard 2","124 min","Action, Thriller",7.1,67,346926,"Renny Harlin","Bruce Willis","$117.54M"
"659",9,"Dick Tracy","105 min","Action, Comedy, Crime",6.1,68,59683,"Warren Beatty","Warren Beatty","$103.74M"
"660",10,"Kindergarten Cop","111 min","Action, Comedy, Crime",6.2,61,142096,"Ivan Reitman","Arnold Schwarzenegger","$91.46M"
"661",11,"Back to the Future Part III","118 min","Adventure, Comedy, Sci-Fi",7.4,55,421253,"Robert Zemeckis","Michael J. Fox","$87.73M"
"662",12,"Presumed Innocent","127 min","Mystery, Thriller",6.9,72,39798,"Alan J. Pakula","Harrison Ford","$86.30M"
"663",13,"Days of Thunder","107 min","Action, Drama, Sport",6.1,60,83505,"Tony Scott","Tom Cruise","$82.67M"
"664",14,"Another 48 Hrs.","93 min","Action, Comedy, Crime",5.9,23,40305,"Walter Hill","Eddie Murphy","$80.82M"
"665",15,"Three Men and a Little Lady","104 min","Comedy, Drama, Family",5.5,51,23847,"Emile Ardolino","Tom Selleck","$71.61M"
"666",16,"Bird on a Wire","110 min","Action, Comedy",6,36,42711,"John Badham","Mel Gibson","$70.98M"
"667",17,"The Godfather: Part III","162 min","Crime, Drama",7.6,60,374602,"Francis Ford Coppola","Al Pacino","$66.67M"
"668",18,"Flatliners","115 min","Drama, Horror, Sci-Fi",6.6,55,83213,"Joel Schumacher","Kiefer Sutherland","$61.49M"
"669",19,"Misery","107 min","Drama, Thriller",7.8,75,194868,"Rob Reiner","James Caan","$61.28M"
"670",20,"Edward Scissorhands","105 min","Drama, Fantasy, Romance",7.9,74,460479,"Tim Burton","Johnny Depp","$56.36M"
"671",21,"Problem Child","81 min","Comedy, Family",5.4,27,29728,"Dennis Dugan","Michael Oliver","$53.47M"
"672",22,"Arachnophobia","109 min","Comedy, Horror, Thriller",6.4,67,66358,"Frank Marshall","Jeff Daniels","$53.21M"
"673",23,"Awakenings","121 min","Biography, Drama",7.8,74,132461,"Penny Marshall","Robert De Niro","$52.10M"
"674",24,"Look Who's Talking Too","81 min","Comedy, Family, Romance",4.7,NA,45688,"Amy Heckerling","John Travolta","$47.49M"
"675",25,"Hard to Kill","96 min","Action, Crime, Drama",5.8,41,28821,"Bruce Malmuth","Steven Seagal","$47.41M"
"676",26,"Goodfellas","146 min","Biography, Crime, Drama",8.7,90,1068007,"Martin Scorsese","Robert De Niro","$46.84M"
"677",27,"Marked for Death","93 min","Action, Adventure, Crime",6,49,21029,"Dwight H. Little","Steven Seagal","$46.04M"
"678",28,"RoboCop 2","117 min","Action, Crime, Sci-Fi",5.8,42,83669,"Irvin Kershner","Peter Weller","$45.68M"
"679",29,"Young Guns II","104 min","Action, Western",6.5,47,34111,"Geoff Murphy","Emilio Estevez","$44.14M"
"680",30,"Gremlins 2: The New Batch","106 min","Comedy, Fantasy, Horror",6.4,69,97982,"Joe Dante","Zach Galligan","$41.48M"
"681",31,"Rocky V","104 min","Drama, Sport",5.3,55,131535,"John G. Avildsen","Sylvester Stallone","$40.95M"
"682",32,"Joe Versus the Volcano","102 min","Comedy, Romance",5.9,45,35903,"John Patrick Shanley","Tom Hanks","$39.40M"
"683",33,"Postcards from the Edge","101 min","Comedy, Drama",6.7,71,16582,"Mike Nichols","Meryl Streep","$37.96M"
"684",34,"Mermaids","110 min","Comedy, Drama, Romance",6.7,56,30105,"Richard Benjamin","Cher","$35.42M"
"685",35,"Darkman","96 min","Action, Sci-Fi, Thriller",6.4,65,61247,"Sam Raimi","Liam Neeson","$33.88M"
"686",36,"Air America","113 min","Action, Comedy, War",5.8,33,27920,"Roger Spottiswoode","Mel Gibson","$31.05M"
"687",37,"Predator 2","108 min","Action, Horror, Sci-Fi",6.3,46,153258,"Stephen Hopkins","Danny Glover","$30.67M"
"688",38,"Green Card","107 min","Comedy, Drama, Romance",6.2,58,23483,"Peter Weir","Gérard Depardieu","$29.89M"
"689",39,"Pacific Heights","102 min","Thriller",6.4,55,19338,"John Schlesinger","Melanie Griffith","$29.38M"
"690",40,"Child's Play 2","84 min","Horror, Thriller",5.9,37,47720,"John Lafia","Alex Vincent","$28.50M"
"691",41,"The Rescuers Down Under","77 min","Animation, Adventure, Crime",6.9,70,40478,"Hendel Butoy","Bob Newhart","$27.93M"
"692",42,"Internal Affairs","115 min","Crime, Drama, Thriller",6.5,63,18955,"Mike Figgis","Richard Gere","$27.73M"
"693",43,"Cadillac Man","97 min","Comedy, Crime",5.7,50,13918,"Roger Donaldson","Robin Williams","$27.63M"
"694",44,"Memphis Belle","107 min","Action, Drama, War",6.9,59,27620,"Michael Caton-Jones","Matthew Modine","$27.44M"
"695",45,"House Party","100 min","Comedy, Music, Romance",6.5,76,14068,"Reginald Hudlin","Christopher Reid","$26.39M"
"696",46,"Jacob's Ladder","113 min","Drama, Horror, Mystery",7.5,62,102872,"Adrian Lyne","Tim Robbins","$26.12M"
"697",47,"The Exorcist III","110 min","Drama, Horror, Mystery",6.4,48,29193,"William Peter Blatty","George C. Scott","$26.10M"
"698",48,"Navy Seals","113 min","Action, Adventure, Thriller",5.6,38,16352,"Lewis Teague","Charlie Sheen","$25.07M"
"699",49,"Ernest Goes to Jail","81 min","Comedy, Crime, Family",5.4,40,9264,"John R. Cherry III","Jim Varney","$25.03M"
"700",50,"Ghost Dad","83 min","Comedy, Family, Fantasy",4.4,NA,7799,"Sidney Poitier","Bill Cosby","$24.71M"
"701",1,"Beauty and the Beast","84 min","Animation, Family, Fantasy",8,95,427837,"Gary Trousdale","Paige O'Hara","$218.97M"
"702",2,"Terminator 2: Judgment Day","137 min","Action, Sci-Fi",8.5,75,1032290,"James Cameron","Arnold Schwarzenegger","$204.84M"
"703",3,"Robin Hood: Prince of Thieves","143 min","Action, Adventure, Drama",6.9,51,184711,"Kevin Reynolds","Kevin Costner","$165.50M"
"704",4,"The Silence of the Lambs","118 min","Crime, Drama, Thriller",8.6,85,1329473,"Jonathan Demme","Jodie Foster","$130.74M"
"705",5,"City Slickers","113 min","Comedy, Western",6.8,70,52711,"Ron Underwood","Billy Crystal","$124.03M"
"706",6,"Hook","142 min","Adventure, Comedy, Family",6.8,52,242595,"Steven Spielberg","Dustin Hoffman","$119.65M"
"707",7,"The Addams Family","99 min","Comedy, Fantasy",6.9,57,142222,"Barry Sonnenfeld","Anjelica Huston","$113.50M"
"708",8,"Sleeping with the Enemy","99 min","Drama, Thriller",6.3,48,53616,"Joseph Ruben","Julia Roberts","$101.60M"
"709",9,"Father of the Bride","105 min","Comedy, Family, Romance",6.5,51,72086,"Charles Shyer","Steve Martin","$89.33M"
"710",10,"The Naked Gun 2½: The Smell of Fear","85 min","Comedy, Crime",6.9,65,109208,"David Zucker","Leslie Nielsen","$86.93M"
"711",11,"Fried Green Tomatoes","130 min","Drama",7.7,64,70443,"Jon Avnet","Kathy Bates","$82.42M"
"712",12,"Cape Fear","128 min","Crime, Thriller",7.3,73,182831,"Martin Scorsese","Robert De Niro","$79.10M"
"713",13,"Teenage Mutant Ninja Turtles II: The Secret of the Ooze","88 min","Action, Adventure, Comedy",6,45,53566,"Michael Pressman","Paige Turco","$78.66M"
"714",14,"Backdraft","137 min","Action, Crime, Drama",6.7,38,75802,"Ron Howard","Kurt Russell","$77.87M"
"715",15,"Star Trek VI: The Undiscovered Country","110 min","Action, Adventure, Sci-Fi",7.2,65,72937,"Nicholas Meyer","William Shatner","$74.89M"
"716",16,"The Prince of Tides","132 min","Drama, Romance",6.8,65,17388,"Barbra Streisand","Barbra Streisand","$74.79M"
"717",17,"JFK","189 min","Drama, History, Thriller",8,72,148202,"Oliver Stone","Kevin Costner","$70.41M"
"718",18,"Hot Shots!","84 min","Action, Comedy",6.8,61,103416,"Jim Abrahams","Charlie Sheen","$69.47M"
"719",19,"What About Bob?","99 min","Comedy",7,60,65624,"Frank Oz","Bill Murray","$63.71M"
"720",20,"My Girl","102 min","Comedy, Drama, Family",6.9,56,76192,"Howard Zieff","Anna Chlumsky","$59.85M"
"721",21,"The Last Boy Scout","105 min","Action, Comedy, Crime",7,52,97100,"Tony Scott","Bruce Willis","$59.51M"
"722",22,"Boyz n the Hood","112 min","Crime, Drama",7.8,76,132612,"John Singleton","Cuba Gooding Jr.","$57.50M"
"723",23,"Doc Hollywood","104 min","Comedy, Drama, Romance",6.2,56,34890,"Michael Caton-Jones","Michael J. Fox","$54.83M"
"724",24,"Bugsy","136 min","Biography, Crime, Drama",6.8,80,27728,"Barry Levinson","Warren Beatty","$49.11M"
"725",25,"New Jack City","97 min","Action, Crime, Drama",6.7,61,33541,"Mario Van Peebles","Wesley Snipes","$47.62M"
"726",26,"The Rocketeer","108 min","Action, Adventure, Family",6.5,61,55421,"Joe Johnston","Billy Campbell","$46.70M"
"727",27,"Thelma & Louise","130 min","Adventure, Crime, Drama",7.5,88,144151,"Ridley Scott","Susan Sarandon","$45.36M"
"728",28,"Drop Dead Fred","103 min","Comedy, Drama, Fantasy",5.9,25,27837,"Ate de Jong","Phoebe Cates","$43.88M"
"729",29,"Point Break","122 min","Action, Crime, Thriller",7.3,58,168552,"Kathryn Bigelow","Patrick Swayze","$43.22M"
"730",30,"Regarding Henry","108 min","Drama, Romance",6.7,47,30912,"Mike Nichols","Harrison Ford","$43.00M"
"731",31,"The Fisher King","137 min","Comedy, Drama, Fantasy",7.5,61,82360,"Terry Gilliam","Jeff Bridges","$41.90M"
"732",32,"Out for Justice","91 min","Action, Crime, Drama",6.1,38,22633,"John Flynn","Steven Seagal","$39.67M"
"733",33,"The Doctor","122 min","Drama",7,NA,5376,"Randa Haines","William Hurt","$38.12M"
"734",34,"Bill & Ted's Bogus Journey","93 min","Adventure, Comedy, Fantasy",6.3,60,72849,"Peter Hewitt","Keanu Reeves","$38.04M"
"735",35,"Dead Again","107 min","Crime, Drama, Mystery",6.9,66,27047,"Kenneth Branagh","Kenneth Branagh","$38.02M"
"736",36,"Soapdish","97 min","Comedy, Romance",6.6,65,15448,"Michael Hoffman","Sally Field","$36.49M"
"737",37,"The Doors","140 min","Biography, Drama, Music",7.2,62,87976,"Oliver Stone","Val Kilmer","$35.18M"
"738",38,"Freddy's Dead: The Final Nightmare","89 min","Fantasy, Horror",4.9,39,43638,"Rachel Talalay","Robert Englund","$34.87M"
"739",39,"White Fang","107 min","Adventure, Drama",6.7,62,20303,"Randal Kleiser","Ethan Hawke","$34.79M"
"740",40,"King Ralph","97 min","Comedy, Romance",5.3,NA,15651,"David S. Ward","John Goodman","$34.00M"
"741",41,"Curly Sue","101 min","Comedy, Drama, Family",5.9,NA,21085,"John Hughes","Jim Belushi","$33.69M"
"742",42,"Dying Young","111 min","Drama, Romance",6.1,NA,15632,"Joel Schumacher","Julia Roberts","$33.67M"
"743",43,"Grand Canyon","134 min","Crime, Drama",6.9,64,15353,"Lawrence Kasdan","Danny Glover","$33.24M"
"744",44,"Jungle Fever","132 min","Drama, Romance",6.6,78,17927,"Spike Lee","Wesley Snipes","$32.48M"
"745",45,"Double Impact","110 min","Action, Crime",5.6,40,39511,"Sheldon Lettich","Jean-Claude Van Damme","$30.10M"
"746",46,"L.A. Story","95 min","Comedy, Drama, Fantasy",6.7,66,31791,"Mick Jackson","Steve Martin","$28.86M"
"747",47,"Deceived","104 min","Crime, Drama, Mystery",6.2,NA,6965,"Damian Harris","Goldie Hawn","$28.74M"
"748",48,"Necessary Roughness","108 min","Comedy, Sport",6.2,45,11154,"Stan Dragoti","Scott Bakula","$26.26M"
"749",49,"The Hard Way","111 min","Action, Comedy, Crime",6.4,NA,20002,"John Badham","Michael J. Fox","$25.90M"
"750",50,"Other People's Money","103 min","Comedy, Drama, Romance",6.2,NA,8462,"Norman Jewison","Danny DeVito","$25.68M"
"751",1,"Aladdin","90 min","Animation, Adventure, Comedy",8,86,386353,"Ron Clements","Scott Weinger","$217.35M"
"752",2,"Home Alone 2: Lost in New York","120 min","Adventure, Comedy, Crime",6.8,46,322425,"Chris Columbus","Macaulay Culkin","$173.59M"
"753",3,"Batman Returns","126 min","Action, Crime, Fantasy",7,68,284850,"Tim Burton","Michael Keaton","$162.83M"
"754",4,"Lethal Weapon 3","118 min","Action, Crime, Thriller",6.7,40,161917,"Richard Donner","Mel Gibson","$144.73M"
"755",5,"A Few Good Men","138 min","Drama, Thriller",7.7,62,246599,"Rob Reiner","Tom Cruise","$141.34M"
"756",6,"Sister Act","100 min","Comedy, Family, Music",6.4,51,92477,"Emile Ardolino","Whoopi Goldberg","$139.61M"
"757",7,"The Bodyguard","129 min","Action, Drama, Music",6.3,39,126628,"Mick Jackson","Kevin Costner","$121.95M"
"758",8,"Wayne's World","94 min","Comedy, Music",7,57,149459,"Penelope Spheeris","Mike Myers","$121.70M"
"759",9,"Basic Instinct","127 min","Drama, Mystery, Thriller",7,41,188620,"Paul Verhoeven","Michael Douglas","$117.73M"
"760",10,"A League of Their Own","128 min","Comedy, Drama, Sport",7.3,67,98919,"Penny Marshall","Tom Hanks","$107.53M"
"761",11,"Unforgiven","130 min","Drama, Western",8.2,85,391125,"Clint Eastwood","Clint Eastwood","$101.16M"
"762",12,"The Hand that Rocks the Cradle","110 min","Drama, Thriller",6.6,64,40994,"Curtis Hanson","Annabella Sciorra","$88.04M"
"763",13,"Under Siege","103 min","Action, Thriller",6.5,58,81817,"Andrew Davis","Steven Seagal","$83.36M"
"764",14,"Patriot Games","117 min","Action, Thriller",6.9,64,107289,"Phillip Noyce","Harrison Ford","$83.29M"
"765",15,"Dracula","128 min","Horror",7.4,57,202931,"Francis Ford Coppola","Gary Oldman","$82.52M"
"766",16,"White Men Can't Jump","115 min","Comedy, Drama, Sport",6.8,65,80519,"Ron Shelton","Wesley Snipes","$76.25M"
"767",17,"The Last of the Mohicans","112 min","Action, Adventure, Drama",7.7,76,158562,"Michael Mann","Daniel Day-Lewis","$75.51M"
"768",18,"Boomerang","117 min","Comedy, Drama, Romance",5.6,45,28549,"Reginald Hudlin","Eddie Murphy","$70.10M"
"769",19,"Scent of a Woman","156 min","Drama",8,59,278038,"Martin Brest","Al Pacino","$63.90M"
"770",20,"The Crying Game","112 min","Crime, Drama, Romance",7.3,90,53416,"Neil Jordan","Stephen Rea","$62.55M"
"771",21,"Far and Away","140 min","Adventure, Drama, Romance",6.6,49,61202,"Ron Howard","Tom Cruise","$58.88M"
"772",22,"Honey, I Blew Up the Kid","89 min","Adventure, Comedy, Family",4.9,50,42836,"Randal Kleiser","Rick Moranis","$58.66M"
"773",23,"HouseSitter","102 min","Comedy, Romance",6.1,52,23905,"Frank Oz","Steve Martin","$58.50M"
"774",24,"Death Becomes Her","104 min","Comedy, Fantasy, Horror",6.6,56,111310,"Robert Zemeckis","Meryl Streep","$58.42M"
"775",25,"Unlawful Entry","111 min","Crime, Drama, Thriller",6.3,61,15776,"Jonathan Kaplan","Kurt Russell","$57.14M"
"776",26,"Beethoven","87 min","Comedy, Drama, Family",5.7,NA,69021,"Brian Levant","Charles Grodin","$57.11M"
"777",27,"Forever Young","102 min","Drama, Romance, Sci-Fi",6.3,NA,45988,"Steve Miner","Mel Gibson","$55.96M"
"778",28,"Alien 3","114 min","Action, Horror, Sci-Fi",6.5,59,287066,"David Fincher","Sigourney Weaver","$55.47M"
"779",29,"My Cousin Vinny","120 min","Comedy, Crime",7.6,68,114109,"Jonathan Lynn","Joe Pesci","$52.93M"
"780",30,"Sneakers","126 min","Comedy, Crime, Drama",7.1,65,56317,"Phil Alden Robinson","Robert Redford","$51.43M"
"781",31,"The Mighty Ducks","104 min","Comedy, Drama, Family",6.6,46,63221,"Stephen Herek","Emilio Estevez","$50.75M"
"782",32,"Malcolm X","202 min","Biography, Drama, History",7.7,73,89899,"Spike Lee","Denzel Washington","$48.17M"
"783",33,"Single White Female","107 min","Drama, Thriller",6.4,63,34620,"Barbet Schroeder","Bridget Fonda","$47.92M"
"784",34,"The Distinguished Gentleman","112 min","Comedy, Crime",5.9,45,15749,"Jonathan Lynn","Eddie Murphy","$46.67M"
"785",35,"Medicine Man","106 min","Adventure, Drama, Romance",6.1,43,22484,"John McTiernan","Sean Connery","$45.50M"
"786",36,"Passenger 57","84 min","Action, Crime, Thriller",5.9,50,46573,"Kevin Hooks","Wesley Snipes","$44.07M"
"787",37,"A River Runs Through It","123 min","Drama",7.2,68,55768,"Robert Redford","Craig Sheffer","$43.44M"
"788",38,"Encino Man","88 min","Comedy",5.8,25,38729,"Les Mayfield","Sean Astin","$40.69M"
"789",39,"Mo' Money","89 min","Action, Comedy, Crime",5.5,NA,7423,"Peter MacDonald","Damon Wayans","$40.23M"
"790",40,"Universal Soldier","102 min","Action, Sci-Fi",6,35,85720,"Roland Emmerich","Jean-Claude Van Damme","$36.30M"
"791",41,"Honeymoon in Vegas","96 min","Comedy, Romance, Thriller",5.8,62,17522,"Andrew Bergman","James Caan","$35.21M"
"792",42,"The Lawnmower Man","108 min","Horror, Sci-Fi",5.4,42,34988,"Brett Leonard","Jeff Fahey","$32.10M"
"793",43,"Sleepwalkers","91 min","Fantasy, Horror",5.3,38,21611,"Mick Garris","Brian Krause","$30.52M"
"794",44,"3 Ninjas","84 min","Action, Comedy, Family",5.3,36,21061,"Jon Turteltaub","Victor Wong","$29.00M"
"795",45,"Final Analysis","124 min","Drama, Thriller",5.9,40,13884,"Phil Joanou","Richard Gere","$28.59M"
"796",46,"Stop! Or My Mom Will Shoot","87 min","Action, Comedy",4.3,NA,41000,"Roger Spottiswoode","Sylvester Stallone","$28.41M"
"797",47,"The Muppet Christmas Carol","85 min","Comedy, Drama, Family",7.7,64,51806,"Brian Henson","Michael Caine","$27.28M"
"798",48,"Howards End","142 min","Drama, Romance",7.4,88,30582,"James Ivory","Anthony Hopkins","$25.97M"
"799",49,"Candyman","99 min","Horror, Thriller",6.7,61,80116,"Bernard Rose","Virginia Madsen","$25.79M"
"800",50,"The Cutting Edge","101 min","Comedy, Drama, Romance",6.9,53,19451,"Paul Michael Glaser","D.B. Sweeney","$25.11M"
"801",1,"Jurassic Park","127 min","Action, Adventure, Sci-Fi",8.1,68,907510,"Steven Spielberg","Sam Neill","$402.45M"
"802",2,"Mrs. Doubtfire","125 min","Comedy, Drama, Family",7,53,255399,"Chris Columbus","Robin Williams","$219.20M"
"803",3,"The Fugitive","130 min","Action, Crime, Drama",7.8,87,278625,"Andrew Davis","Harrison Ford","$183.88M"
"804",4,"The Firm","154 min","Drama, Mystery, Thriller",6.8,58,126684,"Sydney Pollack","Tom Cruise","$158.35M"
